Admin2,medianage
Alachua,32.1
Baker,37.2
Bay,41.8
Bradford,39.8
Brevard,47.7
Broward,40.8
Calhoun,42
Charlotte,60.1
Citrus,57.1
Clay,40
Collier,52.1
Columbia,40.5
DeSoto,41.2
Dixie,46.2
Duval,36.6
Escambia,37.5
Flagler,52.6
Franklin,46.3
Gadsden,41.8
Gilchrist,42.5
Glades,47.7
Gulf,49.8
Hamilton,40.2
Hardee,36.1
Hendry,35.1
Hernando,48.7
Highlands,54.4
Hillsborough,37.6
Holmes,42.5
Indian River,54.6
Jackson,42.4
Jefferson,48.4
Lafayette,39.8
Lake,47.4
Lee,49.3
Leon,31.5
Levy,47.7
Liberty,39.5
Madison,43.5
Manatee,49.3
Marion,48.9
Martin,53.1
Miami-Dade,40.4
Monroe,48.4
Nassau,45.9
Okaloosa,37.2
Okeechobee,41.5
Orange,35.7
Osceola,36.6
Palm Beach,45.2
Pasco,44.4
Pinellas,48.8
Polk,40.2
Putnam,45.6
Santa Rosa,44.1
Sarasota,45.8
Seminole,39.9
St. Johns,57.1
St. Lucie,39.4
Sumter,68.1
Suwannee,43.2
Taylor,42.1
Union,39.7
Volusia,47.1
Wakulla,40.9
Walton,44.3
Washington,40.8
